author,date,text,rating,source
Артем Соколов,,"Я бы не хотел ничего менять в работе компании роснефть, даже если мог бы. Обслуживание, сервис, топливо - все на высшем уровне. С РН-карт такая же история. Они предоставляют отличный продукт в виде топливных карт. Эти карты я активно использую в работе. Я владею компанией по доставке и сбору кухонных гарнитуров. У водителей автофургонов карты есть уже несколько лет. Они облегчают работу мне, и делают комфортней работу водителей. Это происходит из-за большого количества различных функций, которые есть в приложении. Все удобные и актуальные. Я и водители довольны.",5,2gis
vikki1990vikki,,"К сожалению, я узнала о карте недавно. У меня молодой таксопарк. Топливные карты роснефть отлично подходят для области доставок, грузоперевозок, или же для такси. Я оформила карту таксистам. Против никто не был, многие были знакомы с таким видом работы. Мне часто приходится уезжать во семейным делам в другой город на несколько дней, а то и на неделю. Дистанционная работа с картой очень удобна. Больше не нужно требовать с водителей чеки и сдачу. На большом расстоянии могу в онлайн режиме проверить кто и на сколько заправлялся. Пополнить счета карт тоже есть возможность из другого города. Очень удобно.",5,2gis
Alex,,Рад сотрудничать с такой стабильной и серьезной компанией как роснефть. Я являюсь руководителем в компании по доставке мебели. Узнал о топливных картах от РН-карт несколько лет назад. Оформил каждому сотруднику. С этого момента не встречался с трудностями заполнения отчета и нечестными работниками. Дружелюбная атмосфера с работниками начинается с честности.,5,2gis
Владимир Соколов,,"Мне комфортно пользоваться топливными картами. Я владелец компании по доставке бруса. Мои доходы складываются, в том числе из сэкономленных денег на топливо. Чем больше сэкономил, тем больше могу присвоить себе. А дальше: повысить свою доходность или выдать надбавки - сложное решение. Карты удобны не только возможностью получать скидки, но и тем, что это отличный шаг, чтобы начать отказываться от бумаги. Отчеты можно в готовом виде посмотреть вличном кабинете клиента, не нужно ничего переносить на бумагу. Наличные так же можно убрать в “долгий ящик”. Думать, что тк – это только для юр лиц не совсем верно. Водители тоже имеют кипу полезных функций, которые из раза в раз пополняются.",4,2gis
Денис Кучер,,"Я активно пользуюсь услугами от РН-карт и роснефти уже на протяжении 7 лет. Я занимаюсь доставкой посуды по всей России. Доставки бывают несколько раз в день. Поэтому мной было решено, что каждый сотрудник получит топливную карту от РН-карт. Я не отказываюсь от своего решения даже спустя большое количество времени. Карта позволяет забыть о некоторых дополнительных делах: отчетность, подготовка денег каждому сотруднику, сбор чеков после поездки, пересчет сдачи. В совокупности это занимает реально много времени. Теперь я больше времени уделяю более важным делам. От водителей негатива не слышал.",4,2gis
Shamil Shayliev,,"Я оформлял карты от РН-карт на 73 человека. Удивила оперативность работы, так как через 5 дней я уже получил и раздал их каждому в руки. Стараемся брать все возможности и не пропускать скидки и акции. В приложении могу посмотреть сразу готовый отчет, мне осталось только закидывать деньги на счет. Для водителей есть свои фишки. Они могут проводить оплату не выходя из машины, круто, не только если занимаешься своим здоровьем, но и сильно устал. Эту функцию особенно любят в моей компании работники, которым сложно дается контакт с людьми. А карта с АЗС помогает в тот момент, когда поехал в незнакомый город. Благо заправок куча.",5,2gis
Тарас,,"Я руководитель компании по доставке мебели. Нефтегазовые корпорации тесно связаны с нашим бизнесом. Для сотрудничества в свое время я выбрал компанию роснефть. Это было 7 лет назад, но даже спустя это время мы продолжаем совместную работу. На каждого сотрудника оформлена топливная карта роснефть от РН-карт. Я был от нее в приятном шоке. Она помогает мне экономить время и даже средства. Работники часто хорошо откликались. Я долго к ней привыкал, но уже 5 лет пользуюсь и считаю, что ничем не могу ее заменить. Я привык работать с готовыми отчетами и всегда знать кто, что и сколько потратил.",5,2gis
Shamil Shayliev,,"Не зря “Роснефть” одна из самых успешных нефтегазовых компаний. Приятно работать с профессионалами. Карты от Рн-карт оформлял сразу для всех подчиненных. Открыл свое ИП. Занимаемся доставкой бруса. Водители ездят в разные города, карта с расположением АЗС часто выручает. Мне легче следить за расходами. Твердое отлично.",4,2gis
Mura Veinik,,"Мне сложно проводить сравнение нефтегазовых компаний, потому что всю жизнь только и пользовался, что роснефтью. Стабильная компания с постоянно улучшающимся сервисом и обслуживанием. Я руководитель компании доставок, у водителей, как и у меня, есть топливные карты роснефть от РН-карт. Сам отзываюсь хорошо и то же самое слышу от работников",5,2gis
Светлана,,"По связям мне сразу досталась руководящая должность, без изнурительных лет работы. Компания занимается доставкой мебели из дерева по всей России. Расходы на топливо большие. Продукт от роснефти устраивает полностью. Топливные карты от РН-карт были выданы всем сотрудникам еще до начала доставок. Суммарно экономия большая. С такими расходами топлива экономия ощутима. Сам ознакомился с ними подробно только после получения должности. В рамках договора карту завел и себе для личных целей.Доволен как слон.",5,2gis
Женя Шелест,,"Начиная реализацию своей идеи(компания по грузоперевозкам), я сразу выбрала сеть заправок “Роснефть”. Для того чтобы машина ездила исправно нужно: 1. Качественное топливо. 2. Регулярное ТО. Карты роснефть от РН-карт выдал сотрудникам не сразу. Для начала сам попользовался и проверил - не бесполезна ли она. Оказалось пользы предостаточно. Небольшие суммы действительно можно сэкономить, если заправляться по этой ТК. Так как компания еще молодая, я не могу сделать глобальных выводов, но то, что сэкономить реально - это факт.",5,2gis
Евгения,,"Ничего плохого сказать не могу. Меня всегда интересует мнение моих подчинённых на счет того, как прошла доставка, как машина чувствовала себя в пути и тд. Ни разу не слышал того, что с кем-то плохо обошлись, нагрубили или не ответили на интересующий вопрос. Да и лично с таким не встречался. Как только узнал о картах роснефть от РН-карт, сразу завел ее всем водителям. Довольны обе стороны. Мне существенно облегчило расчет расходов. Работники больше не боятся потерять деньги. Если потерял карту, то можно позвонить на горячую линию и попросить заблокировать, это можно сделать и в личном кабинете.",5,2gis
Nikita Poroshkov,,"Стаж работы ювелиром у меня уже 17 лет. Мои изделия в большом количестве скупает компания в Москве. Так как я живу не так далеко, чтобы отправлять изделия на самолете, и не так близко, чтобы отвозить их самому я нанимаю человека, который на машине в течении полутора суток передает украшения. Дело не из дешевых, но после плачевых опытов с почтой, я понял, что это самый верный вариант. Чтобы экономить хотя бы небольшую сумму денег, всегда даю свою топливную карту от РН-карт в дорогу. Качество меня устраивает, пользуюсь нечасто, но помогает положить лишнюю копеечку себе в карман. Расходы все отслеживаются легко.",4,2gis
Daniil Prokofyev,,"Очень интересное оформление на картах. Мне понравилось. Делают их быстро, наша компания получила менее, чем через неделю их. Поддержка работает постоянно, что для меня показатель профессионализма. Пока разбирался со всеми настройками, звонил им несколько раз и всегда быстро отвечали.",4,2gis
